"year","firstname","rank","genderindex"
"1889","Donnie",83,0.72
"1889","Leslie",4,0.09
"1889","Robbie",71,0.65
"1889","Sidney",84,0.06
"1889","Tracy",40,0.32
"1889","Dee",65,0.16
"1889","Aubrey",1,0.17
"1889","Carlie",64,0.28
"1889","Clair",24,0.14
"1889","Jodie",70,0.26
"1889","Lacy",18,0.24
"1890","Jean",68,0.86
"1890","Lou",79,0.9
"1890","Artie",86,0.72
"1890","Alpha",72,0.81
"1890","Leslie",4,0.06
"1890","Robbie",71,0.66
"1890","Sidney",84,0.05
"1890","Lacy",18,0.28
"1890","Tracy",40,0.27
"1890","Avery",91,0.17
"1890","Sydney",8,0.24
"1890","Carlie",64,0.33
"1890","Dee",65,0.14
"1891","Jean",68,0.86
"1891","Lou",79,0.88
"1891","Alpha",72,0.82
"1891","Artie",86,0.8
"1891","Leslie",4,0.09
"1891","Sidney",84,0.1
"1891","Lacy",18,0.28
"1891","Tracy",40,0.24
"1891","Clair",24,0.11
"1891","Dee",65,0.18
"1891","Ivey",81,0.3
"1891","Carlie",64,0.4
"1891","Jodie",70,0.19
"1891","Lynn",46,0.08
"1892","Jean",68,0.86
"1892","Lou",79,0.9
"1892","Alpha",72,0.78
"1892","Artie",86,0.69
"1892","Donnie",83,0.76
"1892","Leslie",4,0.06
"1892","Sidney",84,0.05
"1892","Lacy",18,0.28
"1892","Dee",65,0.11
"1892","Jodie",70,0.34
"1892","Stacy",27,0.34
"1892","Tracy",40,0.21
"1892","Ivey",81,0.28
"1892","Sydney",8,0.19
"1892","Clair",24,0.09
"1893","Jean",68,0.89
"1893","Lou",79,0.88
"1893","Artie",86,0.69
"1893","Leslie",4,0.07
"1893","Donnie",83,0.71
"1893","Sidney",84,0.05
"1893","Dee",65,0.22
"1893","Lacy",18,0.45
"1893","Lynn",46,0.14
"1893","Tracy",40,0.22
"1893","Carlie",64,0.39
"1893","Stacy",27,0.35
"1893","Aubrey",1,0.09
"1893","Jodie",70,0.18
"1893","Beverly",44,0.16
"1893","Gale",67,0.2
"1894","Jean",68,0.87
"1894","Lou",79,0.84
"1894","Alpha",72,0.81
"1894","Artie",86,0.69
"1894","Leslie",4,0.08
"1894","Donnie",83,0.67
"1894","Lacy",18,0.24
"1894","Sidney",84,0.03
"1894","Tracy",40,0.28
"1894","Hollie",48,0.43
"1894","Jodie",70,0.21
"1894","Dee",65,0.12
"1895","Jean",68,0.86
"1895","Lou",79,0.88
"1895","Artie",86,0.67
"1895","Donnie",83,0.78
"1895","Leslie",4,0.05
"1895","Sidney",84,0.05
"1895","Lacy",18,0.42
"1895","Dee",65,0.16
"1895","Carlie",64,0.46
"1895","Hollie",48,0.48
"1895","Tracy",40,0.3
"1895","Courtney",41,0.37
"1895","Jodie",70,0.29
"1895","Aubrey",1,0.09
"1895","Clair",24,0.1
"1895","Ivey",81,0.25
"1895","Meredith",94,0.38
"1896","Jean",68,0.83
"1896","Lou",79,0.87
"1896","Artie",86,0.83
"1896","Alpha",72,0.88
"1896","Leslie",4,0.06
"1896","Donnie",83,0.53
"1896","Sidney",84,0.05
"1896","Tracy",40,0.39
"1896","Jodie",70,0.34
"1896","Lacy",18,0.28
"1896","Clair",24,0.13
"1896","Dee",65,0.15
"1896","Stacy",27,0.45
"1896","Lynn",46,0.08
"1896","Courtney",41,0.24
"1896","Ivey",81,0.24
"1896","Sydney",8,0.14
"1897","Jean",68,0.86
"1897","Lou",79,0.81
"1897","Artie",86,0.77
"1897","Alpha",72,0.77
"1897","Frankie",89,0.81
"1897","Donnie",83,0.77
"1897","Leslie",4,0.07
"1897","Robbie",71,0.7
"1897","Sidney",84,0.07
"1897","Jodie",70,0.26
"1897","Tracy",40,0.38
"1897","Courtney",41,0.4
"1897","Lacy",18,0.15
"1897","Lynn",46,0.11
"1897","Clair",24,0.1
"1897","Dee",65,0.11
"1897","Gale",67,0.18
"1897","Beverly",44,0.23
"1898","Jean",68,0.89
"1898","Lou",79,0.88
"1898","Artie",86,0.78
"1898","Alpha",72,0.86
"1898","Leslie",4,0.05
"1898","Sidney",84,0.05
"1898","Lacy",18,0.49
"1898","Tracy",40,0.43
"1898","Dee",65,0.14
"1898","Jodie",70,0.3
"1898","Lynn",46,0.08
"1898","Clair",24,0.08
"1898","Hollie",48,0.36
"1898","Aubrey",1,0.06
"1898","Beverly",44,0.37
"1898","Ivey",81,0.33
"1898","Courtney",41,0.26
"1898","Shelley",52,0.33
"1899","Jean",68,0.92
"1899","Lou",79,0.82
"1899","Alpha",72,0.87
"1899","Artie",86,0.79
"1899","Donnie",83,0.64
"1899","Leslie",4,0.04
"1899","Clair",24,0.19
"1899","Jodie",70,0.3
"1899","Lacy",18,0.27
"1899","Sidney",84,0.04
"1899","Hollie",48,0.48
"1899","Lynn",46,0.12
"1899","Courtney",41,0.32
"1899","Dee",65,0.12
"1899","Ivey",81,0.36
"1899","Sydney",8,0.14
"1899","Beverly",44,0.28
"1899","Tracy",40,0.16
"1900","Jean",68,0.92
"1900","Lou",79,0.85
"1900","Artie",86,0.73
"1900","Alpha",72,0.87
"1900","Donnie",83,0.8
"1900","Leslie",4,0.05
"1900","Sidney",84,0.05
"1900","Lacy",18,0.2
"1900","Beverly",44,0.45
"1900","Clair",24,0.13
"1900","Carlie",64,0.51
"1900","Courtney",41,0.34
"1900","Dee",65,0.13
"1900","Gale",67,0.34
"1900","Jodie",70,0.32
"1900","Lynn",46,0.09
"1900","Hollie",48,0.23
"1900","Avery",91,0.2
"1900","Tracy",40,0.19
"1900","Aubrey",1,0.04
"1900","Meredith",94,0.3
"1901","Jean",68,0.83
"1901","Lou",79,0.86
"1901","Artie",86,0.8
"1901","Alpha",72,0.73
"1901","Frankie",89,0.79
"1901","Donnie",83,0.72
"1901","Leslie",4,0.06
"1901","Lacy",18,0.37
"1901","Dee",65,0.33
"1901","Sidney",84,0.05
"1901","Aubrey",1,0.1
"1901","Charley",29,0.02
"1901","Clair",24,0.13
"1901","Hollie",48,0.22
"1901","Sydney",8,0.2
"1901","Jodie",70,0.25
"1901","Lynn",46,0.09
"1901","Tracy",40,0.17
"1902","Jean",68,0.9
"1902","Lou",79,0.91
"1902","Alpha",72,0.73
"1902","Artie",86,0.71
"1902","Robbie",71,0.72
"1902","Leslie",4,0.07
"1902","Sidney",84,0.07
"1902","Beverly",44,0.32
"1902","Lacy",18,0.21
"1902","Lynn",46,0.1
"1902","Clair",24,0.09
"1902","Meredith",94,0.3
"1902","Tracy",40,0.39
"1902","Avery",91,0.16
"1902","Aubrey",1,0.05
"1902","Jodie",70,0.36
"1902","Rosario",63,0.28
"1902","Sydney",8,0.15
"1903","Jean",68,0.91
"1903","Lou",79,0.85
"1903","Frankie",89,0.88
"1903","Artie",86,0.7
"1903","Robbie",71,0.85
"1903","Donnie",83,0.65
"1903","Leslie",4,0.05
"1903","Sidney",84,0.05
"1903","Dee",65,0.19
"1903","Tracy",40,0.38
"1903","Jodie",70,0.39
"1903","Aubrey",1,0.07
"1903","Beverly",44,0.24
"1903","Clair",24,0.11
"1903","Lacy",18,0.15
"1903","Lynn",46,0.11
"1903","Meredith",94,0.38
"1903","Stacy",27,0.27
"1903","Avery",91,0.18
"1903","Courtney",41,0.24
"1903","Sydney",8,0.09
"1904","Jean",68,0.9
"1904","Lou",79,0.89
"1904","Alpha",72,0.9
"1904","Frankie",89,0.88
"1904","Artie",86,0.63
"1904","Donnie",83,0.68
"1904","Leslie",4,0.06
"1904","Sidney",84,0.05
"1904","Dee",65,0.24
"1904","Lacy",18,0.23
"1904","Beverly",44,0.36
"1904","Ivey",81,0.43
"1904","Lynn",46,0.12
"1904","Aubrey",1,0.07
"1904","Clair",24,0.09
"1904","Stacy",27,0.35
"1904","Jodie",70,0.25
"1904","Robin",85,0.32
"1904","Rosario",63,0.29
"1904","Sydney",8,0.09
"1904","Meredith",94,0.23
"1905","Jean",68,0.92
"1905","Lou",79,0.84
"1905","Frankie",89,0.91
"1905","Artie",86,0.74
"1905","Alpha",72,0.87
"1905","Donnie",83,0.69
"1905","Leslie",4,0.06
"1905","Sydney",8,0.26
"1905","Sidney",84,0.04
"1905","Beverly",44,0.32
"1905","Lacy",18,0.28
"1905","Lynn",46,0.19
"1905","Clair",24,0.12
"1905","Jodie",70,0.32
"1905","Meredith",94,0.34
"1905","Aubrey",1,0.06
"1905","Carlie",64,0.41
"1905","Dee",65,0.1
"1905","Gale",67,0.23
"1906","Jean",68,0.92
"1906","Artie",86,0.7
"1906","Alpha",72,0.83
"1906","Beverly",44,0.64
"1906","Leslie",4,0.05
"1906","Donnie",83,0.67
"1906","Dee",65,0.19
"1906","Sidney",84,0.03
"1906","Lacy",18,0.21
"1906","Lynn",46,0.14
"1906","Stacy",27,0.42
"1906","Tracy",40,0.19
"1906","Clair",24,0.07
"1906","Hollie",48,0.24
"1906","Meredith",94,0.26
"1906","Sydney",8,0.12
"1906","Aubrey",1,0.03
"1906","Christy",34,0.28
"1906","Emery",45,0.06
"1906","Jodie",70,0.19
"1907","Jean",68,0.9
"1907","Lou",79,0.83
"1907","Frankie",89,0.82
"1907","Alpha",72,0.8
"1907","Artie",86,0.72
"1907","Robbie",71,0.77
"1907","Donnie",83,0.74
"1907","Leslie",4,0.06
"1907","Beverly",44,0.47
"1907","Sidney",84,0.04
"1907","Lacy",18,0.2
"1907","Dee",65,0.17
"1907","Lynn",46,0.12
"1907","Meredith",94,0.38
"1907","Clair",24,0.09
"1907","Jodie",70,0.22
"1907","Aubrey",1,0.05
"1907","Carlie",64,0.41
"1907","Ivey",81,0.3
"1907","Sydney",8,0.14
"1907","Avery",91,0.14
"1907","Kelly",10,0.07
"1907","Rosario",63,0.14
"1907","Tracy",40,0.15
"1908","Jean",68,0.93
"1908","Frankie",89,0.84
"1908","Lou",79,0.82
"1908","Alpha",72,0.83
"1908","Artie",86,0.64
"1908","Robbie",71,0.78
"1908","Donnie",83,0.69
"1908","Leslie",4,0.06
"1908","Beverly",44,0.56
"1908","Sidney",84,0.04
"1908","Lynn",46,0.14
"1908","Tracy",40,0.26
"1908","Lacy",18,0.18
"1908","Meredith",94,0.3
"1908","Dee",65,0.14
"1908","Aubrey",1,0.07
"1908","Sydney",8,0.16
"1908","Stacy",27,0.2
"1908","Gale",67,0.18
"1908","Clair",24,0.07
"1908","Jodie",70,0.21
"1908","Ivey",81,0.21
"1908","Allison",37,0.26
"1908","Avery",91,0.09
"1908","Carlie",64,0.21
"1908","Kelly",10,0.09
"1909","Jean",68,0.95
"1909","Frankie",89,0.81
"1909","Robbie",71,0.78
"1909","Artie",86,0.62
"1909","Donnie",83,0.68
"1909","Beverly",44,0.55
"1909","Leslie",4,0.05
"1909","Lacy",18,0.28
"1909","Lynn",46,0.11
"1909","Dee",65,0.19
"1909","Meredith",94,0.31
"1909","Sydney",8,0.21
"1909","Sidney",84,0.02
"1909","Courtney",41,0.51
"1909","Tracy",40,0.51
"1909","Clair",24,0.1
"1909","Hollie",48,0.26
"1909","Jodie",70,0.22
"1909","Stacy",27,0.35
"1909","Gale",67,0.15
"1909","Rosario",63,0.23
"1909","Avery",91,0.17
"1909","Kelly",10,0.11
"1909","Ivey",81,0.37
"1909","Charley",29,0.02
"1909","Robin",85,0.26
"1909","Shelley",52,0.21
"1910","Jean",68,0.93
"1910","Frankie",89,0.86
"1910","Lou",79,0.8
"1910","Artie",86,0.69
"1910","Alpha",72,0.89
"1910","Robbie",71,0.8
"1910","Beverly",44,0.63
"1910","Leslie",4,0.08
"1910","Donnie",83,0.69
"1910","Lacy",18,0.28
"1910","Meredith",94,0.46
"1910","Lynn",46,0.15
"1910","Lavon",50,0.67
"1910","Hollie",48,0.39
"1910","Dee",65,0.19
"1910","Sydney",8,0.15
"1910","Sidney",84,0.02
"1910","Ivey",81,0.33
"1910","Jodie",70,0.22
"1910","Avery",91,0.19
"1910","Aubrey",1,0.04
"1910","Charley",29,0.02
"1910","Clair",24,0.1
"1910","Courtney",41,0.27
"1910","Stacy",27,0.33
"1910","Carlie",64,0.33
"1910","Gale",67,0.22
"1910","Kelly",10,0.06
"1910","Tracy",40,0.17
"1910","Allison",37,0.18
"1910","Lesley",14,0.17
"1911","Jean",68,0.94
"1911","Frankie",89,0.87
"1911","Lou",79,0.9
"1911","Alpha",72,0.87
"1911","Artie",86,0.73
"1911","Robbie",71,0.82
"1911","Beverly",44,0.59
"1911","Donnie",83,0.72
"1911","Leslie",4,0.06
"1911","Lynn",46,0.17
"1911","Sidney",84,0.03
"1911","Jodie",70,0.47
"1911","Aubrey",1,0.08
"1911","Meredith",94,0.35
"1911","Clair",24,0.1
"1911","Dee",65,0.17
"1911","Lacy",18,0.19
"1911","Sydney",8,0.11
"1911","Gale",67,0.21
"1911","Hollie",48,0.35
"1911","Tracy",40,0.24
"1911","Allison",37,0.18
"1911","Courtney",41,0.5
"1911","Stacy",27,0.24
"1911","Ivey",81,0.24
"1911","Rosario",63,0.11
"1911","Kelly",10,0.06
"1912","Jean",68,0.95
"1912","Lou",79,0.88
"1912","Frankie",89,0.85
"1912","Robbie",71,0.88
"1912","Artie",86,0.75
"1912","Alpha",72,0.81
"1912","Beverly",44,0.6
"1912","Donnie",83,0.74
"1912","Leslie",4,0.05
"1912","Lavon",50,0.78
"1912","Lynn",46,0.12
"1912","Sidney",84,0.02
"1912","Dee",65,0.22
"1912","Lacy",18,0.21
"1912","Meredith",94,0.31
"1912","Clair",24,0.09
"1912","Aubrey",1,0.05
"1912","Ivey",81,0.45
"1912","Allison",37,0.27
"1912","Jodie",70,0.25
"1912","Sydney",8,0.07
"1912","Stacy",27,0.29
"1912","Avery",91,0.11
"1912","Courtney",41,0.23
"1912","Gale",67,0.14
"1912","Leigh",25,0.28
"1912","Tracy",40,0.17
"1912","Carlie",64,0.38
"1912","Jan",30,0.43
"1912","Robin",85,0.25
"1912","Hollie",48,0.29
"1912","Kelly",10,0.09
"1912","Rosario",63,0.09
"1912","Shannon",47,0.3
"1912","Shelley",52,0.35
"1913","Jean",68,0.95
"1913","Frankie",89,0.89
"1913","Lou",79,0.91
"1913","Robbie",71,0.92
"1913","Alpha",72,0.83
"1913","Artie",86,0.8
"1913","Beverly",44,0.65
"1913","Donnie",83,0.62
"1913","Lavon",50,0.84
"1913","Leslie",4,0.05
"1913","Sidney",84,0.03
"1913","Meredith",94,0.42
"1913","Lynn",46,0.12
"1913","Lacy",18,0.28
"1913","Dee",65,0.23
"1913","Sydney",8,0.11
"1913","Jodie",70,0.34
"1913","Hollie",48,0.49
"1913","Aubrey",1,0.04
"1913","Clair",24,0.05
"1913","Rosario",63,0.14
"1913","Stacy",27,0.29
"1913","Tracy",40,0.17
"1913","Ivey",81,0.25
"1913","Lesley",14,0.27
"1913","Robin",85,0.43
"1913","Carlie",64,0.32
"1913","Courtney",41,0.24
"1913","Avery",91,0.09
"1913","Gale",67,0.1
"1913","Jan",30,0.37
"1913","Allison",37,0.16
"1913","Christy",34,0.29
"1913","Shelby",2,0.1
"1914","Jean",68,0.96
"1914","Frankie",89,0.88
"1914","Lou",79,0.84
"1914","Robbie",71,0.89
"1914","Beverly",44,0.67
"1914","Alpha",72,0.83
"1914","Artie",86,0.78
"1914","Donnie",83,0.71
"1914","Leslie",4,0.05
"1914","Lavon",50,0.89
"1914","Lynn",46,0.14
"1914","Meredith",94,0.4
"1914","Sidney",84,0.02
"1914","Clair",24,0.12
"1914","Dee",65,0.27
"1914","Jodie",70,0.35
"1914","Sydney",8,0.1
"1914","Lacy",18,0.19
"1914","Courtney",41,0.37
"1914","Aubrey",1,0.04
"1914","Gale",67,0.14
"1914","Rosario",63,0.17
"1914","Carlie",64,0.45
"1914","Gerry",56,0.67
"1914","Ivey",81,0.36
"1914","Stacy",27,0.27
"1914","Tracy",40,0.19
"1914","Allison",37,0.16
"1914","Hollie",48,0.26
"1914","Kelly",10,0.09
"1914","Charley",29,0.02
"1914","Jan",30,0.25
"1914","Avery",91,0.06
"1914","Sandy",15,0.1
"1914","Blair",58,0.11
"1914","Robin",85,0.17
"1914","Arden",87,0.07
"1914","Arlyn",61,0.35
"1914","Carman",73,0.25
"1914","Elisha",95,0.09
"1914","Hilary",9,0.15
"1914","Jacque",97,0.32
"1914","Leigh",25,0.22
"1914","Lesley",14,0.16
"1914","Shelby",2,0.05
"1914","Shelley",52,0.3
"1914","Waverly",31,0.21
"1915","Jean",68,0.96
"1915","Frankie",89,0.87
"1915","Beverly",44,0.7
"1915","Lou",79,0.89
"1915","Robbie",71,0.86
"1915","Alpha",72,0.84
"1915","Artie",86,0.73
"1915","Lavon",50,0.76
"1915","Donnie",83,0.65
"1915","Leslie",4,0.05
"1915","Sidney",84,0.03
"1915","Meredith",94,0.33
"1915","Lynn",46,0.11
"1915","Dee",65,0.23
"1915","Sydney",8,0.12
"1915","Clair",24,0.07
"1915","Lacy",18,0.19
"1915","Gale",67,0.16
"1915","Stacy",27,0.33
"1915","Tracy",40,0.24
"1915","Aubrey",1,0.04
"1915","Hollie",48,0.29
"1915","Robin",85,0.35
"1915","Jodie",70,0.27
"1915","Rosario",63,0.11
"1915","Gerry",56,0.55
"1915","Allison",37,0.19
"1915","Ivey",81,0.25
"1915","Charley",29,0.02
"1915","Courtney",41,0.18
"1915","Jan",30,0.3
"1915","Lesley",14,0.24
"1915","Arlyn",61,0.53
"1915","Carlie",64,0.26
"1915","Lacey",62,0.35
"1915","Shelley",52,0.19
"1915","Sandy",15,0.1
"1915","Arden",87,0.05
"1915","Leigh",25,0.14
"1915","Blair",58,0.06
"1915","Carman",73,0.13
"1915","Kelly",10,0.04
"1915","Michele",75,0.25
"1915","Shelby",2,0.05
"1915","Sherrill",93,0.28
"1916","Jean",68,0.96
"1916","Beverly",44,0.85
"1916","Frankie",89,0.84
"1916","Lou",79,0.87
"1916","Robbie",71,0.88
"1916","Alpha",72,0.85
"1916","Artie",86,0.83
"1916","Leslie",4,0.06
"1916","Lavon",50,0.76
"1916","Donnie",83,0.62
"1916","Meredith",94,0.45
"1916","Lynn",46,0.13
"1916","Sidney",84,0.03
"1916","Sydney",8,0.14
"1916","Dee",65,0.26
"1916","Clair",24,0.09
"1916","Lacy",18,0.19
"1916","Gale",67,0.17
"1916","Tracy",40,0.23
"1916","Hollie",48,0.43
"1916","Allison",37,0.23
"1916","Gerry",56,0.69
"1916","Aubrey",1,0.04
"1916","Jodie",70,0.31
"1916","Stacy",27,0.3
"1916","Courtney",41,0.3
"1916","Carlie",64,0.49
"1916","Ivey",81,0.34
"1916","Charley",29,0.03
"1916","Jan",30,0.41
"1916","Rosario",63,0.09
"1916","Avery",91,0.09
"1916","Lesley",14,0.26
"1916","Arlyn",61,0.41
"1916","Michele",75,0.26
"1916","Shelby",2,0.08
"1916","Kelly",10,0.08
"1916","Jacque",97,0.35
"1916","Lacey",62,0.3
"1916","Bailey",22,0.09
"1916","Christy",34,0.16
"1916","Lindsay",13,0.11
"1916","Robin",85,0.16
"1916","Leigh",25,0.17
"1916","Shelly",38,0.19
"1916","Sherrill",93,0.2
"1917","Jean",68,0.96
"1917","Beverly",44,0.88
"1917","Frankie",89,0.86
"1917","Lou",79,0.87
"1917","Robbie",71,0.88
"1917","Alpha",72,0.81
"1917","Artie",86,0.72
"1917","Leslie",4,0.06
"1917","Donnie",83,0.67
"1917","Lavon",50,0.75
"1917","Meredith",94,0.42
"1917","Lynn",46,0.13
"1917","Sidney",84,0.03
"1917","Dee",65,0.21
"1917","Clair",24,0.08
"1917","Sydney",8,0.13
"1917","Lacy",18,0.18
"1917","Tracy",40,0.22
"1917","Rosario",63,0.14
"1917","Aubrey",1,0.05
"1917","Gerry",56,0.62
"1917","Gale",67,0.12
"1917","Jan",30,0.44
"1917","Ivey",81,0.26
"1917","Allison",37,0.15
"1917","Carlie",64,0.32
"1917","Charley",29,0.02
"1917","Stacy",27,0.28
"1917","Robin",85,0.22
"1917","Jodie",70,0.18
"1917","Leigh",25,0.21
"1917","Avery",91,0.06
"1917","Courtney",41,0.18
"1917","Hollie",48,0.24
"1917","Shelby",2,0.06
"1917","Kelly",10,0.05
"1917","Lacey",62,0.31
"1917","Michele",75,0.21
"1917","Paris",21,0.15
"1917","Carman",73,0.26
"1917","Christy",34,0.28
"1917","Arlyn",61,0.42
"1917","Jacque",97,0.39
"1917","Shelley",52,0.25
"1917","Ashley",11,0.09
"1917","Emery",45,0.01
"1917","Lesley",14,0.11
"1917","Sandy",15,0.06
"1918","Jean",68,0.96
"1918","Beverly",44,0.88
"1918","Frankie",89,0.85
"1918","Lou",79,0.91
"1918","Robbie",71,0.91
"1918","Alpha",72,0.87
"1918","Artie",86,0.76
"1918","Leslie",4,0.06
"1918","Donnie",83,0.72
"1918","Lavon",50,0.72
"1918","Meredith",94,0.43
"1918","Lynn",46,0.14
"1918","Sidney",84,0.03
"1918","Dee",65,0.28
"1918","Sydney",8,0.17
"1918","Clair",24,0.1
"1918","Allison",37,0.33
"1918","Gerry",56,0.54
"1918","Carlie",64,0.55
"1918","Lacy",18,0.19
"1918","Jodie",70,0.31
"1918","Gale",67,0.11
"1918","Ivey",81,0.32
"1918","Jan",30,0.35
"1918","Aubrey",1,0.04
"1918","Robin",85,0.45
"1918","Rosario",63,0.12
"1918","Avery",91,0.12
"1918","Tracy",40,0.17
"1918","Stacy",27,0.27
"1918","Hollie",48,0.27
"1918","Kelly",10,0.1
"1918","Courtney",41,0.18
"1918","Lesley",14,0.19
"1918","Berlin",28,0.2
"1918","Arlyn",61,0.47
"1918","Carman",73,0.25
"1918","Michele",75,0.32
"1918","Charley",29,0.01
"1918","Christy",34,0.22
"1918","Shelley",52,0.3
"1918","Jacque",97,0.28
"1918","Leigh",25,0.16
"1918","Paris",21,0.12
"1918","Emery",45,0.02
"1918","Hilary",9,0.1
"1918","Marlowe",80,0.23
"1918","Sandy",15,0.08
"1918","Morgan",12,0.03
"1918","Shannon",47,0.15
"1918","Shelby",2,0.04
"1919","Jean",68,0.96
"1919","Beverly",44,0.86
"1919","Frankie",89,0.83
"1919","Lou",79,0.93
"1919","Robbie",71,0.89
"1919","Alpha",72,0.86
"1919","Artie",86,0.74
"1919","Leslie",4,0.06
"1919","Lavon",50,0.73
"1919","Donnie",83,0.56
"1919","Meredith",94,0.43
"1919","Lynn",46,0.14
"1919","Sidney",84,0.03
"1919","Gerry",56,0.68
"1919","Sydney",8,0.18
"1919","Dee",65,0.19
"1919","Rosario",63,0.19
"1919","Clair",24,0.07
"1919","Lacy",18,0.22
"1919","Gale",67,0.13
"1919","Aubrey",1,0.05
"1919","Jodie",70,0.32
"1919","Avery",91,0.13
"1919","Allison",37,0.24
"1919","Courtney",41,0.24
"1919","Carlie",64,0.31
"1919","Hollie",48,0.24
"1919","Charley",29,0.03
"1919","Ivey",81,0.34
"1919","Jan",30,0.3
"1919","Stacy",27,0.18
"1919","Tracy",40,0.14
"1919","Jacque",97,0.38
"1919","Arlyn",61,0.61
"1919","Hilary",9,0.18
"1919","Carman",73,0.39
"1919","Kelly",10,0.05
"1919","Michele",75,0.25
"1919","Paris",21,0.14
"1919","Robin",85,0.18
"1919","Sandy",15,0.09
"1919","Leigh",25,0.13
"1919","Lesley",14,0.13
"1919","Shelby",2,0.04
"1919","Waverly",31,0.16
"1919","Blair",58,0.06
"1919","Corliss",82,0.37
"1919","Kelley",26,0.13
"1919","Arden",87,0.05
"1919","Shannon",47,0.11
"1920","Jean",68,0.96
"1920","Beverly",44,0.9
"1920","Frankie",89,0.79
"1920","Lou",79,0.9
"1920","Robbie",71,0.89
"1920","Alpha",72,0.88
"1920","Artie",86,0.72
"1920","Lavon",50,0.79
"1920","Donnie",83,0.65
"1920","Leslie",4,0.05
"1920","Meredith",94,0.39
"1920","Lynn",46,0.12
"1920","Sidney",84,0.03
"1920","Gerry",56,0.79
"1920","Dee",65,0.27
"1920","Clair",24,0.09
"1920","Gale",67,0.15
"1920","Lacy",18,0.2
"1920","Sydney",8,0.13
"1920","Rosario",63,0.18
"1920","Allison",37,0.26
"1920","Stacy",27,0.24
"1920","Courtney",41,0.29
"1920","Tracy",40,0.24
"1920","Robin",85,0.28
"1920","Aubrey",1,0.03
"1920","Jan",30,0.37
"1920","Charley",29,0.03
"1920","Avery",91,0.11
"1920","Ivey",81,0.33
"1920","Jodie",70,0.18
"1920","Lesley",14,0.21
"1920","Kelly",10,0.07
"1920","Shelley",52,0.32
"1920","Berlin",28,0.18
"1920","Carlie",64,0.21
"1920","Hollie",48,0.22
"1920","Shelby",2,0.06
"1920","Arlyn",61,0.28
"1920","Leigh",25,0.19
"1920","Carman",73,0.32
"1920","Jacque",97,0.31
"1920","Michele",75,0.22
"1920","Sandy",15,0.09
"1920","Christy",34,0.2
"1920","Corliss",82,0.31
"1920","Hilary",9,0.11
"1920","Emery",45,0.02
"1920","Kelley",26,0.09
"1920","Paris",21,0.09
"1920","Waverly",31,0.15
"1921","Jean",68,0.96
"1921","Beverly",44,0.91
"1921","Frankie",89,0.81
"1921","Lou",79,0.91
"1921","Robbie",71,0.92
"1921","Alpha",72,0.84
"1921","Artie",86,0.71
